Year,Iqaluit,Paulatuk,Cambridge Bay,Taloyoak,Sanikiluaq,Eureka,Grise Fjord,Chesterfield Inlet,Churchill,Clyde River,Resolute,Ulukhaktok,Whale Cove,Coral Harbour,Nain,Rankin Inlet,Kugluktuk,Tuktoyaktuk,Kangiqsualujjuaq,Pangnirtung,Pond Inlet,Qaanaaq,Sachs Harbour,Igloolik,Alert,Kinngait,Gjoa Haven,Arctic Bay,Arviat,Kugaaruk,Qikiqtarjuaq,Ikersak,Naujaat
2000,,192,225.0,215.0,171.0,,,193.0,,,208.0,,197,195.0,,196,198.0,,168.0,,201.0,,199.0,209.0,,165.0,214.0,199.0,193,207.0,225.0,165.0,
2001,,198,219.0,203.0,,241.0,236.0,,173.0,205.0,237.0,198.0,184,,,181,,,154.0,,212.0,,190.0,204.0,,145.0,205.0,199.0,184,197.0,,,
2002,191.0,190,209.0,217.0,191.0,209.0,,,174.0,214.0,,223.0,196,194.0,179.0,198,199.0,,180.0,187.0,214.0,197.0,192.0,207.0,207.0,159.0,214.0,,190,202.0,215.0,154.0,
2004,196.0,198,220.0,223.0,,237.0,,206.0,,209.0,235.0,210.0,205,199.0,171.0,201,,,154.0,175.0,,207.0,194.0,221.0,,160.0,226.0,,200,,,155.0,
2005,191.0,206,222.0,224.0,164.0,199.0,218.0,193.0,167.0,209.0,,202.0,193,189.0,161.0,189,,,152.0,184.0,216.0,197.0,173.0,209.0,,161.0,219.0,208.0,183,,,141.0,
2006,185.0,199,199.0,207.0,172.0,218.0,210.0,182.0,164.0,209.0,,185.0,182,182.0,148.0,180,180.0,,147.0,181.0,204.0,194.0,187.0,206.0,,,200.0,200.0,177,194.0,201.0,148.0,
2007,,189,209.0,211.0,195.0,204.0,217.0,194.0,,213.0,203.0,186.0,198,,173.0,196,198.0,,171.0,191.0,204.0,187.0,176.0,211.0,,128.0,,,191,204.0,,152.0,244.0
2008,186.0,181,215.0,,173.0,205.0,219.0,185.0,175.0,208.0,233.0,179.0,189,187.0,,186,201.0,,149.0,177.0,,186.0,188.0,208.0,,189.0,209.0,212.0,185,203.0,,155.0,
2009,,212,215.0,215.0,196.0,233.0,208.0,202.0,,199.0,212.0,208.0,198,195.0,,193,,,172.0,184.0,212.0,193.0,183.0,203.0,,153.0,223.0,208.0,195,214.0,208.0,161.0,
2010,185.0,180,207.0,211.0,172.0,227.0,204.0,,168.0,197.0,204.0,180.0,194,188.0,152.0,195,,,156.0,165.0,199.0,183.0,179.0,205.0,,,208.0,196.0,193,,,,
2011,,188,209.0,200.0,170.0,194.0,195.0,,,214.0,189.0,185.0,189,190.0,185.0,191,198.0,,166.0,177.0,197.0,196.0,173.0,204.0,,,202.0,195.0,184,201.0,219.0,149.0,
2012,195.0,180,206.0,211.0,194.0,221.0,212.0,,,199.0,195.0,187.0,185,193.0,165.0,188,190.0,,158.0,172.0,202.0,191.0,184.0,211.0,,,212.0,205.0,185,,,156.0,
2013,202.0,185,201.0,205.0,170.0,,221.0,183.0,165.0,209.0,,196.0,190,195.0,173.0,190,186.0,,156.0,,205.0,200.0,159.0,213.0,,,205.0,204.0,182,202.0,216.0,130.0,
2014,,183,210.0,224.0,182.0,239.0,222.0,193.0,169.0,,223.0,192.0,187,190.0,177.0,186,192.0,,165.0,182.0,225.0,,185.0,,,175.0,216.0,220.0,185,,223.0,,
2015,,181,223.0,211.0,222.0,214.0,206.0,198.0,171.0,,197.0,,195,,164.0,194,,,,,201.0,193.0,,,,163.0,220.0,210.0,191,212.0,,172.0,
2016,199.0,181,201.0,216.0,190.0,213.0,205.0,182.0,171.0,206.0,205.0,193.0,189,197.0,174.0,187,190.0,,174.0,202.0,199.0,191.0,172.0,206.0,,,203.0,199.0,178,204.0,,122.0,239.0
2017,186.0,181,193.0,202.0,175.0,,224.0,182.0,173.0,217.0,,186.0,186,181.0,,178,193.0,,148.0,193.0,205.0,203.0,169.0,201.0,,172.0,204.0,204.0,178,,211.0,158.0,
2018,,190,207.0,,206.0,,225.0,,169.0,205.0,,196.0,194,198.0,,199,196.0,,184.0,191.0,,198.0,,203.0,,177.0,210.0,210.0,180,205.0,,158.0,
2019,175.0,186,,214.0,,,222.0,,,196.0,,,202,,,206,,,151.0,172.0,,,193.0,,,,,211.0,207,,,144.0,244.0
2020,191.0,196,216.0,216.0,178.0,,206.0,191.0,,203.0,216.0,,193,195.0,173.0,193,,,177.0,,202.0,203.0,185.0,207.0,,167.0,208.0,195.0,197,197.0,,154.0,
2021,187.0,189,215.0,231.0,189.0,212.0,213.0,186.0,,,,212.0,192,195.0,158.0,185,199.0,,129.0,191.0,202.0,185.0,176.0,204.0,,158.0,,203.0,183,,214.0,139.0,
2003,,191,226.0,230.0,186.0,205.0,,189.0,,206.0,205.0,212.0,177,188.0,,183,,,,186.0,210.0,180.0,195.0,207.0,,,223.0,,174,213.0,,140.0,
