Year,MO,OW,FO
2000,153.0,196.0,298.0
2001,130.0,,298.0
2002,139.0,197.0,299.0
2003,125.0,189.0,306.0
2004,145.0,199.0,
2005,136.0,187.0,310.0
2006,135.0,183.0,
2007,148.0,204.0,294.0
2008,121.0,189.0,293.0
2009,143.0,196.0,290.0
2010,131.0,188.0,276.0
2011,141.0,190.0,307.0
2012,145.0,196.0,296.0
2013,143.0,196.0,
2014,129.0,191.0,309.0
2015,147.0,,287.0
2016,146.0,189.0,306.0
2017,129.0,181.0,289.0
2018,149.0,198.0,295.0
2019,137.0,,310.0
2020,145.0,192.0,304.0
2021,,191.0,
2022,142.0,183.0,298.0
